day,time,name,lat,lng,depth,m
2016/04/16,2:26:52,熊本県阿蘇地方,33.002,131.169,0,2.7
2016/04/16,2:27:02,大分県中部,33.251,131.369,-7,3.7
2016/04/16,2:27:20,熊本県熊本地方,32.636,130.702,-10,2.7
2016/04/16,2:28:11,熊本県阿蘇地方,32.953,131.083,-12,2.6
2016/04/16,2:28:24,大分県中部,33.268,131.435,-7,1.9
2016/04/16,2:28:39,熊本県熊本地方,32.768,130.803,-7,3
2016/04/16,2:29:04,大分県中部,33.252,131.367,-8,3.7
2016/04/16,2:29:31,熊本県熊本地方,32.784,130.801,-11,3.3
2016/04/16,2:30:22,熊本県熊本地方,32.818,130.801,-14,2.9
2016/04/16,2:30:49,熊本県熊本地方,32.867,130.834,-14,3.5
2016/04/16,2:31:15,熊本県熊本地方,32.751,130.75,-17,3.6
2016/04/16,2:31:38,熊本県熊本地方,32.786,130.834,-8,2.8
2016/04/16,2:32:12,大分県中部,33.251,131.384,-8,2.7
2016/04/16,2:32:26,熊本県熊本地方,32.819,130.884,-11,3.4
2016/04/16,2:32:43,大分県中部,33.301,131.452,-4,2.1
2016/04/16,2:32:59,大分県中部,33.286,131.434,-3,2.7
2016/04/16,2:33:01,熊本県熊本地方,32.835,130.801,-15,3.2
2016/04/16,2:33:34,熊本県熊本地方,32.7,130.719,-15,2.5
2016/04/16,2:33:52,大分県中部,33.286,131.452,-7,3.4
2016/04/16,2:34:14,大分県中部,33.268,131.401,-9,3.2
2016/04/16,2:34:20,熊本県熊本地方,32.669,130.75,-12,3.2
2016/04/16,2:34:31,熊本県阿蘇地方,32.967,131.1,-8,3.3
2016/04/16,2:34:54,熊本県熊本地方,32.734,130.751,-13,3.9
2016/04/16,2:35:24,熊本県阿蘇地方,32.967,131.085,-11,3.3
2016/04/16,2:35:36,熊本県熊本地方,32.784,130.769,-14,3.5
2016/04/16,2:35:37,大分県中部,33.269,131.335,-7,3.1
2016/04/16,2:35:59,熊本県阿蘇地方,32.903,131.035,-11,2.6
2016/04/16,2:36:49,熊本県熊本地方,32.819,130.834,-13,3.8
2016/04/16,2:37:27,大分県中部,33.268,131.35,-7,3.2
2016/04/16,2:38:03,熊本県熊本地方,32.785,130.785,-12,2.8
2016/04/16,2:38:32,熊本県阿蘇地方,32.919,131.084,-8,2.8
